date,text
2020-10-13 11:48:02,GOP raises over 1 Billion Dollars through @WINRED since recent founding. November 3rd. The most important Election in the History of our Country!!!
2020-10-13 11:44:14,"California hired a pure Sleepy Joe Democrat firm to count and “harvest” votes. No way Republicans get a fair shake. Lawyers, get started!!! @GOPLeader  California is in big trouble. Vote Trump and watch the greatest comeback of them all!!! Also, New York and Illinois - go for it!"
2020-10-13 11:37:00,"Congratulations Dan. You, Breitbart and others have decimated the business at Drudge. It’s gone the way of the @NBA, ratings down 70%. People want the TRUTH! Drudge Report sold out, suffered a massive “nervous breakdown”. Happening @FoxNews also??? https://t.co/Zr07XdHtNx"
2020-10-13 11:29:27,RT @seanhannity: #HANNITY: Biden disrespects voters with court-packing dodge. Exclusive: @LawrenceBJones3 talks to Trump supporters in FL.…
2020-10-13 11:13:46,"RT @dbongino: It’s Tuesday, October 13th 2020, and Barack Obama was the most corrupt President in US history.
#Obamagate"
2020-10-13 11:12:38,RT @realDonaldTrump: https://t.co/OzYzLQ2FQp
2020-10-13 11:10:48,Thank you Greg. You got their Hoax right from the beginning! https://t.co/3ql3nADDD9
2020-10-13 11:00:58,"Thank you, so nice! https://t.co/7GlapStrEB"
2020-10-13 10:58:37,"RT @SenateGOP: Today's the day.

#ConfirmACB https://t.co/iNq26Kvona"
2020-10-13 10:55:06,"RT @SenJoniErnst: Only 100 years ago, women in this country were given the right to vote. And today, we began considering adding another wo…"
2020-10-13 10:54:48,Always safe Katie! https://t.co/K5ALgSYUxJ
2020-10-13 10:53:25,"RT @dailybriefing: With just weeks to go until election day, Judge Amy Coney Barrett made her case for serving on our nation’s highest cour…"
2020-10-13 10:52:46,RT @DanaPerino: What a pleasure to interview Jon Ponder!
2020-10-13 10:51:54,"Matt is great. Strong on Military, Vets and our great 2nd Amendment. Has my Complete and Total Endorsement!!! https://t.co/brrR1zOXay"
2020-10-13 10:47:55,RT @stillgray: Dems keep claiming this doesn't happen.
2020-10-13 10:47:38,RT @RyannMcEnany: My POTUS ❤️ @realDonaldTrump https://t.co/YQOMRt5bbO
2020-10-13 10:46:50,Wow. Our future V.P. So cool! https://t.co/l7lp69ZsYl
2020-10-13 10:44:50,"RT @TrumpWarRoom: “The white race is a superior race, and the Negro race is an inferior race,” said Democrat Senator James Eastland.

Joe B…"
2020-10-13 10:42:03,"RT @thesamsorbo: Sen Ron Johnson just released his report on Biden’s corruption with China, Ukraine, and Russia. Fox doesn’t report about i…"
2020-10-13 10:41:02,RT @TheBabylonBee: California Mandates All Food Must Be Consumed Through IV To Ensure Masks Are Never Removed https://t.co/mwFBnW5gzY
2020-10-13 10:40:12,RT @OzzmanOsgood: This may be a severe shock to Democrats if Express's poll is a harbinger of how the election will really go. We know left…
2020-10-13 10:37:49,RT @The171111: Hiden Biden and Obama may have had Seal Team 6 killed! EXPLOSIVE: CIA Whistleblower Exposes Biden’s Alleged Role with the De…
2020-10-13 10:37:27,"RT @tatobin2: This is the most devastatingly powerful ad against a political opponent that I've ever seen, and it's a TRUE MUST WATCH.  Rep…"
2020-10-13 10:35:12,RT @ACTBrigitte: VP @Mike_Pence had a GREAT night! @realDonaldTrump https://t.co/GYX9kkSsWv
2020-10-13 10:33:45,RT @ACTBrigitte: A red wave is coming on November 3rd!
2020-10-13 10:32:33,RT @ACTBrigitte: Who is worse? Chris Wallace or Donna Brazile?
2020-10-13 10:31:28,No thanks! https://t.co/wEyrvoKWr1
2020-10-13 10:30:43,RT @SenatorDole: The Commission on Presidential Debates is supposedly bipartisan w/ an equal number of Rs and Ds. I know all of the Republi…
2020-10-13 10:30:22,"RT @ACTBrigitte: If a contractor took 47 years to build your construction project and it was still in need of repair, would you give them f…"
2020-10-13 10:29:57,"Scam! He worked for Sleepy Joe, but never admitted this rather major fact! https://t.co/aLePpjDi0Y"
2020-10-13 10:27:39,Thank you!!! https://t.co/1H2Fyp8xs8
2020-10-13 10:26:48,RT @ACTBrigitte: POLL: Which President (out of the four options) is the BEST?
2020-10-13 10:26:34,"RT @ACTBrigitte: Joe Biden said voters “don’t deserve” to know if he’ll pack the courts. 

Joe Biden doesn’t deserve to be President!"
2020-10-13 10:26:15,"RT @ACTBrigitte: When President Trump was elected, America was in big trouble, our economy was stagnant and our military was depleted.

If…"
2020-10-13 10:25:38,Far too many. His own Chief of Staff said they had “no idea what they were doing”. https://t.co/hdRbR930fR
2020-10-13 10:23:50,"RT @ACTBrigitte: The only way to prove the polls are fake, is to turn out and vote on Election Day like never before!!"
2020-10-13 10:23:33,RT @realDonaldTrump: https://t.co/HrEVCQtya1
2020-10-13 10:23:19,"RT @ACTBrigitte: Are you worried about voter fraud/integrity in the upcoming election?

What do you think is the biggest threat to it?"
2020-10-13 10:22:27,"RT @TheLeoTerrell: Another lie by @SenKamalaHarris .  Thank God, I am a lawyer.  Constitution allows the nomination and approval of #AmyCom…"
2020-10-13 10:20:13,"RT @TheLeoTerrell: Please listen to my Podcast: ""Your Vote is At Risk""  @ApplePodcasts @iTunes  https://t.co/ZfVvylWuhF"
2020-10-13 10:19:54,RT @TheLeoTerrell: BIDEN BLUFFS: Members of black Delaware church don’t recall Biden being ‘raised’ there https://t.co/BR0jn4wYaW
2020-10-13 10:19:24,RT @CaesarDarias: Interesting comments and perspective from Leo Terrell. Almost 100 percent of everyone I know in New Jersey is equally con…
2020-10-13 10:18:50,"RT @TheLeoTerrell: Sir, I am Black.  I am a Proud American. I love America. I am voting for @realDonaldTrump . @FoxNews  @seanhannity"
2020-10-13 10:18:42,RT @TheLeoTerrell: Looks like @BlackLivesMatter and #Antifa are #Lakers Fans. Where is the police Democratic Mayor? @MayorOfLA
2020-10-13 10:18:16,RT @TheLeoTerrell: I kept my word @realDonaldTrump WATCH: Longtime Democrat Leo Terrell Keeps His Word &amp; Officially Casts His Vote For Pres…
2020-10-13 10:18:03,RT @TheLeoTerrell: I am more qualified to become Vice-President than @SenKamalaHarris .  She has no morals and will sell her soul for power…
2020-10-13 10:17:37,RT @TheLeoTerrell: Drop this nonsense #Kayne and support @realDonaldTrump Stop playing head games and seeking attention. This election is r…
2020-10-13 10:16:41,RT @realDonaldTrump: Almost nobody showed up to the Sleepy Joe Biden “Rally” in Ohio. The reporting and polls are a Media Con Job - Fake Ne…
2020-10-13 10:16:39,"RT @realDonaldTrump: So Biden is coughing and hacking and playing “fingers” with his mask, all over the place, and the Fake News doesn’t wa…"
2020-10-13 10:12:30,"RT @ACTBrigitte: I hear leftists saying they are worried about a peaceful transition of power if Trump loses...

This coming from the peopl…"
2020-10-13 10:12:18,"RT @ACTBrigitte: Every time you hear a Biden commercial telling you all of his 'great' ideas, ask yourself...

Why didn't he do it during h…"
2020-10-13 10:06:43,"RT @ACTBrigitte: God Bless You, Mr. President!!

I will always stand for TRUTH and I will always stand with YOU!"
2020-10-13 10:06:07,Thank you! https://t.co/6MRdXZ74AQ
2020-10-13 10:05:02,"He must create a list, like I did! Always considered most important Presidential decision. Voter’s entitled to know!!!! https://t.co/yLaLTcOyPy"
2020-10-13 09:59:48,"Mitt can’t be thrilled about this! Joe also said yesterday he’s running for the U.S. Senate (again) and totally forgot where he was (wrong State!). Joe has never been a nice or kind guy, so it’s easier to find this obvious &amp; rapidly getting worse “dementia” unacceptable for USA! https://t.co/QIpH7RDfAV"
2020-10-13 04:28:57,"RT @marklevinshow: There Joe goes again
https://t.co/w8bQGNcMbz"
2020-10-13 04:28:24,RT @GreggJarrett: Florida Man Caught Requesting Ballot For Wife Who Died In 2018 https://t.co/bFwNOM4Etm
2020-10-13 04:27:55,RT @GreggJarrett: World Health Organization Appeals To ‘All World Leaders: Stop Using Lockdown As Your Primary Control Method’ https://t.co…
2020-10-13 04:26:49,"....Much of the money we have spent is on our ground game, said to be the best ever put together. I’ll let you know how good it is on November 3rd. Very expensive to do, but opportunity could be BIG! I will spend additional money if we are not spending enough!"
2020-10-13 04:26:49,"I keep reading Fake News stories that my campaign is running low on money. Not true, &amp; if it were so, I would put up money myself. The fact is that we have much more money than we had 4 years ago, where we spent much less money than Crooked Hillary, and still easily won, 306-223!"
2020-10-13 04:13:17,"Great Florida Rally tonight. Big crowd, lot of enthusiasm (you win races with enthusiasm). Just got back. Tomorrow night it’s off to Pennsylvania and another BIG crowd. We are winning. Economy is starting to boom. Good timing!!!"
2020-10-13 02:08:35,WH Physician: Donald Trump Now Testing Negative for Coronavirus https://t.co/OR5PL893UO via @BreitbartNews
2020-10-13 02:03:38,https://t.co/TNBaLBfHwZ
